Link,Name,Personal Links,Expertise,History 1 Title,History 1 Location,History 1 Start,History 1 End,History 2 Title,History 2 Location,History 2 Start,History 2 End,History 3 Title,History 3 Location,History 3 Start,History 3 End,History 4 Title,History 4 Location,History 4 Start,History 4 End,History 5 Title,History 5 Location,History 5 Start,History 5 End,History 6 Title,History 6 Location,History 6 Start,History 6 End,History 7 Title,History 7 Location,History 7 Start,History 7 End,History 8 Title,History 8 Location,History 8 Start,History 8 End,History 9 Title,History 9 Location,History 9 Start,History 9 End
https://openreview.net/profile?id=~Abir_De1,Abir De,Google Scholar (https://scholar.google.co.in/citations?user=_9ZKKbIAAAAJ&hl=en); DBLP (https://dblp.org/pid/118/7174),Learning with sets; subset selection; Graph neural network; Learning with graphs; Differentiable approximation of procedural algorithms,Assistant Professor,"Indian Institute of Technology Bombay, (iitb.ac.in) [IN]",2019,Present,Postdoc,MPI-SWS (mpi-sws.org) [DE],2018,2019,PhD student,Indian Institute of Technology Kharagpur (iitkgp.ac.in) [IN],2012,2017,,,,,,,,,,,,,,,,,,,,,,,,
https://openreview.net/profile?id=~Aditya_Gopalan1,Aditya Gopalan,Homepage (https://ece.iisc.ac.in/~aditya/); Google Scholar (https://scholar.google.com/citations?user=dM5_1NsAAAAJ); DBLP (https://dblp.org/pid/90/9826),Reinforcement learning; Online learning; Bandits; Communication networks; Resource allocation algorithms,Associate Professor,Indian Institute of Science (iisc.ac.in) [IN],2020,2026,Assistant Professor,Indian Institute of Science (iisc.ac.in),2014,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://openreview.net/profile?id=~Aleksandr_Anokhin2,Aleksandr Anokhin,Google Scholar (https://scholar.google.com/citations?hl=en&user=dNShvLAAAAAJ),Long-context LLMs; context window extension methods; RAG (retrieval-augmented generation); LLM critics; RMT (Recurrent Memory Transformer),Indepent Research,My own research (gmail.com) [RU],2024,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://openreview.net/profile?id=~Anastasia_Stasenko1,Anastasia Stasenko,LinkedIn (https://www.linkedin.com/in/anastasia-stasenko?utm_source=share&utm_campaign=share_via&utm_content=profile&utm_medium=ios_app),Generative AI; Computational social sciences,Lecturer,Sorbonne Université - Faculté des Sciences (Paris VI) (sorbonne-universite.fr) [FR],2022,Present,PhD student,Ecole Normale Supérieure de Cachan (ens-paris-saclay.fr),2015,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://openreview.net/profile?id=~Anirban_Dasgupta1,Anirban Dasgupta,Homepage (https://sites.google.com/site/anirbandasgupta); Google Scholar (https://scholar.google.com/citations?user=plJC8R0AAAAJ); DBLP (https://dblp.org/pid/54/385-1),sketching; dimension reduction; randomized algorithms; coresets; social network analysis; clustering,Professor,IIT Gandhinagar (iitgn.ac.in),2020,Present,Associate Professor,IIT Gandhinagar (iitgn.ac.in),2014,2020,Research Scientist,Yahoo (yahoo-inc.com),2006,2014,PhD student,Cornell University (cornell.edu),2000,2006,,,,,,,,,,,,,,,,,,,,
https://openreview.net/profile?id=~Antoine_Bosselut1,Antoine Bosselut,Homepage (https://atcbosselut.github.io/); Google Scholar (https://scholar.google.com/citations?user=XD9hkJwAAAAJ); DBLP (https://dblp.org/pid/184/3742); Semantic Scholar (https://www.semanticscholar.org/author/2691021); ORCID (https://orcid.org/0000-0001-8968-9649); ACL Anthology (https://aclanthology.org/people/a/antoine-bosselut/),nlp,Assistant Professor,EPFL (epfl.ch) [CH],2021,Present,Postdoc,"Computer Science Department, Stanford University (cs.stanford.edu) [US]",2020,2021,Young Investigator,Allen Institute for Artificial Intelligence (allenai.org) [US],2020,2021,PhD student,"Department of Computer Science, University of Washington (cs.washington.edu) [US]",2014,2020,,,,,,,,,,,,,,,,,,,,
https://openreview.net/profile?id=~Artyom_Sorokin1,Artyom Sorokin,Homepage (https://github.com/griver); Google Scholar (https://scholar.google.com/citations?user=m0MQ6asAAAAJ&hl=en); DBLP (https://dblp.org/pid/241/5267),Information Retrieval; LLM Agents; NLP; Reinfrocement Learning; RNNs; Memory,Principal Researcher,Applied AI Institute  (applied-ai.ru) [RU],2026,Present,Indepent Research,My own research (gmail.com) [RU],2025,2025,Researcher,Skolkovo Institute of Science and Technology (skoltech.ru) [RU],2024,2025,Researcher,Artificial Intelligence Research Institute (airi.net) [RU],2021,2025,,,,,,,,,,,,,,,,,,,,
https://openreview.net/profile?id=~Ayush_Kumar_Tarun1,Ayush Kumar Tarun,Homepage (https://ayushkumartarun.github.io/); Google Scholar (https://scholar.google.com/citations?user=QYJGgtsAAAAJ); DBLP (https://dblp.org/pid/306/7616); Semantic Scholar (https://www.semanticscholar.org/author/Ayush-K-Tarun/2141034263); LinkedIn (https://www.linkedin.com/in/ayush-kumar-83228b1a2/),multilingual LLMs; LLMs; NLP; data valuation; machine unlearning; privacy in machine learning,PhD student,EPFL - EPF Lausanne (epfl.ch) [CH],2024,Present,Undergrad student,"BITS Pilani, BITS Pilani (pilani.bits-pilani.ac.in) [IN]",2018,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://openreview.net/profile?id=~Bo_Zheng5,Bo Zheng,Google Scholar (https://scholar.google.com/citations?user=3gHhO9QAAAAJ); DBLP (https://dblp.org/pid/33/1610-7); ORCID (https://orcid.org/0000-0002-4037-6315); LinkedIn (https://www.linkedin.com/in/bo-zheng-0315254/),Generative AI; Machine Learning; Computer network,Principal Researcher,Alibaba Group (alibaba-inc.com) [CN],2017,Present,Staff Engineer,Google (google.com) [US],2006,2017,PhD student,Tsinghua University (tsinghua.edu.cn) [CN],2001,2006,Undergrad student,Tsinghua University (tsinghua.edu.cn) [CN],1997,2001,,,,,,,,,,,,,,,,,,,,
https://openreview.net/profile?id=~Carlos_Rosas_Hinostroza1,Carlos Rosas Hinostroza,DBLP (https://dblp.org/pid/405/6797); Semantic Scholar (https://www.semanticscholar.org/author/Carlos-Rosas-Hinostroza/2357720743); ORCID (https://orcid.org/0009-0006-3507-0756),,Lecturer,Université Sorbonne-Nouvelle (Paris III) (univ-paris3.fr) [FR],2025,Present,PhD student,Ecole Normale Supérieure – PSL (ens.psl.eu) [FR],2025,Present,MS student,Sorbonne Université - Faculté des Lettres (Paris VI) (sorbonne-universite.fr) [FR],2023,2024,MS student,Université Gustave Eiffel (univ-gustave-eiffel.fr) [FR],2022,2023,Undergrad student,Université Paris-Sorbonne (Paris IV) (paris4.sorbonne.fr) [FR],2017,2020,Undergrad student,Universidad Nacional Mayor de San Marcos (unmsm.edu.pe) [PE],2009,2014,,,,,,,,,,,,
